Date,Takings,Donations,Total,Day,Week,Month,Year,CustNumbers
,NA,NA,NA,Sat,45,11,14,NA
,NA,NA,NA,Tues,45,11,14,NA
,NA,NA,NA,Wed,45,11,14,NA
,NA,NA,NA,Thurs,45,11,14,NA
,NA,NA,NA,Fri,45,11,14,NA
,NA,NA,NA,Sat,46,11,14,NA
,NA,NA,NA,Tues,46,11,14,NA
,NA,NA,NA,Wed,46,11,14,NA
,NA,NA,NA,Thurs,46,11,14,NA
,NA,NA,NA,Fri,46,11,14,NA
,NA,NA,NA,Sat,47,11,14,NA
,NA,NA,NA,Tues,47,11,14,NA
,NA,NA,NA,Wed,47,11,14,NA
,NA,NA,NA,Thurs,47,11,14,NA
,NA,NA,NA,Fri,47,11,14,NA
,NA,NA,NA,Sat,48,12,14,NA
,NA,NA,NA,Tues,48,12,14,NA
,NA,NA,NA,Wed,48,12,14,NA
,NA,NA,NA,Thurs,48,12,14,NA
,NA,NA,NA,Fri,48,12,14,NA
,NA,NA,NA,Sat,48,12,14,NA
,NA,NA,NA,Tues,49,12,14,NA
,NA,NA,NA,Wed,49,12,14,NA
,NA,NA,NA,Thurs,49,12,14,NA
,NA,NA,NA,Fri,49,12,14,NA
,NA,NA,NA,Sat,49,12,14,NA
,NA,NA,NA,Tues,50,12,14,NA
,NA,NA,NA,Wed,50,12,14,NA
,NA,NA,NA,Thurs,50,12,14,NA
,NA,NA,NA,Fri,50,12,14,NA
,NA,NA,NA,Sat,50,12,14,NA
,NA,NA,NA,Tues,51,12,14,NA
,NA,NA,NA,Wed,51,12,14,NA
,NA,NA,NA,Thurs,51,12,14,NA
,NA,NA,NA,Fri,51,12,14,NA
,NA,NA,NA,Sat,51,12,14,NA
,NA,NA,NA,Tues,52,12,14,NA
,NA,NA,NA,Wed,52,12,14,NA
,NA,NA,NA,Thurs,52,12,14,NA
,NA,NA,NA,Fri,52,12,14,NA
,NA,NA,NA,Sat,52,12,14,NA
